Linha,Entidade,Toque,Ponto
Exu,Marabo,Congo,"Ventou no canavial, um trovão lá no céu ecoou (2x)
Salve Iansã e Xangô, salve a coroa de exu Marabô (2x)"
Exu,Duas Cabeças,Samba,"Exu que tem duas cabeças, ele faz sua gira com fé (2x)
Uma é satanás no inferno, a outra é seu Exu Lúcifer (2x)"
Exu,Pinga Fogo,Samba,"Exu é de lei, a sua palavra não volta atrás (2x)
Ele é seu Pinga Fogo, o melhor de satanás (2x)"
Exu,Pinga Fogo,Samba,"Pinga Fogo na encruza, Pinga fogo lá na serra
Abre a porta minha gente, Pinga fogo está em terra (2x)"
Exu,Tiriri,Congo,"É meia noite em ponto e o galo cantou
Cantou pra anunciar que Tiriri chegou
Ele vem da Calunga de capa, cartola e tridente na mão
Esse Exu de fé é quem nos traz Axé e nos dá proteção
Ele é Exu Odara e vem nos ajudar 
Com seu punhal ele fura, ele corta demanda, ele salva, ele cura / Exu é mojubá, Laroiê  
Laroiê Exu é mojubá, perguntei a ele o que é Exu, ele vem me falar
Exu é caminho, é energia, é vida, é determinação
É cumpridor da Lei, Exu é esperto, Exu é guardião
Exu é trabalho, é alegria veloz, Exu é viver
É a magia, é o encanto, é o fogo, é o sangue na veia vibrando Exu é prazer, Laroiê
Laroiê Exu, Exu é mojubá, traz sua falange, Exu Tiriri, para trabalhar (2x)
Vem seu Tranca-Ruas, Maria Padilha e Exu Marabô
Sete Encruzilhadas, seu Zé Pilintra aqui chegou
Maria Mulambo, Maria Farrapo e Dona Figueira
Dona Sete Saias, Pombogira Menina e Rosa Vermelha
Sete Catacumbas, Exu Caveira firmam ponto aqui
E o Exu Capa Preta anunciou: a festa é do Exu Tiriri"
Exu,Sete Porteiras,Congo,"Quando passar naquela encruza, não se deve olhar pra trás
Pois lá tem morador, Sete Porteiras é quem mora lá (2x)
Ele já foi padre, já rezou missa, foi coroado pelo Satanás"
Exu,Chamada,Samba,"Balança figueira, balança figueira, balança figueira, eu quero ver Exu cair (2x)
Cadê Dona Rainha que eu não vejo ela aqui  (2x)
Balança figueira, balança figueira,balança figueira, eu quero ver Exu cair "
Pomba Gira,Pomba Gira,Samba,"Fita preta deu nó, ela deu um nó e amarrou, fita vermelha deu nó …
Pomba Gira me ajudou 
Fita preta deu nó, ela deu um nó e amarrou, fita vermelha deu nó …"
Exu,Exu,Barravento,"Fecha a porta desse velório, ninguém entra e ninguém sai  (2x)
É que essa noite vai ser diferente, a alma do defunto quer falar com a gente  (2x)
Não chora, não chora, chama Seu Tranca que eu não vou embora (2x)"
Exu,Demanda,Barravento,"Eu vou fazer minha oração, Exu caveira que me deu (2x)
Minha oração tem mironga e os inimigos não me tombam (2x)"
Exu,Demanda,Nago,"Só bota fogo quem sabe botar
Seu ponto é seguro e não pode falhar (2x)"
Exu,Demanda,Samba,"Santo Antonio pequenino amansador de burro bravo (2x)
Amansai meus inimigos com 70 mil diabos (2x)
Santo Antônio de batalha, faz de mim batalhador  (2x)
Corra a gira Pomba Gira, Tranca Ruas e Marabô  (2x)"
Exu,Demanda,Samba,"Quem nunca viu, venha ver caldeirão sem fundo ferver (2x)
Deu meia noite cemitério treme, catacumba racha e defunto geme (2x)"
Exu,Quimbanda,Congo,"Plantei jiló, nasceu quiabo, plantei jiló, nasceu quiabo
Mas que família é essa? É a família do diabo (2x)
Plantei jiló, nasceu quiabo, plantei jiló, nasceu quiabo
Seu Tranca Rua é, da família de diabo (2x)"
Exu,Quimbanda,Congo,"Saudei Lúcifer saudei, saudei Lúcifer senhor (2x)
Saudei Belzebu, saudei Nosferatu, Satanás e Astaroth (2x)"
Exu,Quimbanda,Congo,"Se Deus é bom, o Diabo não é mal, se Deus é bom, o Diabo não é mal (2x)
Ele comeu cabrito, foi numa noite de Natal, ele comeu cabrito, foi numa noite de Natal (2x)"
Exu,Subida,Samba,"Mas seu exu, pra que tanta demora? Dona da casa diz que é hora, é hora, é hora (2x)
Exu já bebeu, Exu já comeu, agora quem manda na banda sou eu (2x)"
Exu,Subida,Samba,"Leva leva, leva de frente
Pombo gira seu presente
Leva leva, leva de frente
Leva leva, Exu o seu presente"
Exu,Subida,Congo,"Quem trouxe trouxe, quem leva leva
Exu quem trouxe
Pombo gira quem carrega"
Pomba Gira,Rainha,Samba,"Malandro, te digo meu irmão que a rainha mexeu com meu coração (2x)
Eu hoje vou subir lá na favela, vou dizer para o pai dela que me apaixonei por ela
Malandro eu posso até correr perigo mas se eu descer do morro, a rainha desce comigo
Eu disse malandro…"
Pomba Gira,Rainha,Samba,"Foi condenada pela lei da inquisição para ser queimada viva na sexta feira da paixão (2x)
Padre rezava e o povo acompanhava quanto mais o fogo ardia, ela dava gargalhada (2x)"
Pomba Gira,Rainha,Samba,"Eu vi uma léba na beira da estrada
Uma léba é uma moça bem trajada 
Uma léba, ela dançava e dava risada 
Uma léba é a Rainha das 7 Encruzilhadas (2x)"
Pomba Gira,Rainha,Samba,"Umbanda sua rainha chegou, umbanda mais uma estrela brilhou (2x)
Ô salve, salve a pomba gira, que vem da encruzilhada para alegrar nossa gira
Salve Seu ponteiro de aço, salve sua tesoura, que corta todo embaraço (2x)"
Pomba Gira,Rainha,Congo,"No cabaré ela vivia sofrendo, na rua ela ficou ao relento 
Quando criança ela foi maltratada mas não chorava, ela dava risada
E na encruza ela foi coroada, hoje vive dançando e dando gargalhada 
Porque ela é  Rainha, ela é Rainha pombo gira faceira que deu volta na vida"
Pomba Gira,Rainha,Nago,"Se sua coroa é de ferro, e a sua capa é encarnada (2x)
Vamos saravar, Exu Pomba Gira Rainha das 7 Encruzilhadas (2x)"
Pomba Gira,Rainha,Congo,"Deu meia noite a lua se escondeu, lá na encruzilhada
Dando uma gargalhada, Pomba Gira apareceu (2x)
É laroiê, laroiê, laroiê, laroiê, é mojubá, é mojubá, é mojubá, é mojubá 
Ela é Odara dando sua gargalhada quem tem fé em pomba gira é só pedir que ela dá (2x)"
Pomba Gira,Pomba Gira,Samba,"Arreda homem que aí vem mulher (2x)
Ela é a Pomba Gira Rainha do Cabaré
Tranca Rua vem na frente, pra dizer quem ela é (2x)"
Pomba Gira,Pomba Gira,Samba,"Pomba Gira é mulher de sete maridos (2x)
Não mexa com ela, essa moça é um perigo (2x)
Pomba gira é de segunda a segunda (2x)
Na boca de quem não presta pomba gira é vagabunda (2x)"
Pomba Gira,Pomba Gira,Samba,"De vermelho e negro, vestindo a noite, um mistério traz
De colar de contas, brinco dourado, a promessa faz
Se é preciso ir, você pode ir, peça o que quiser
Mas cuidado, amigo, ela é bonita, ela é mulher (2x)
E no canto da rua zombando, zombando, zombando está
Ela é moça bonita girando, girando, girando lá"
Pomba Gira,Pomba Gira,Samba,"Juraram de me matar, na porta de um cabaré (2x)
Por causa da Pomba Gira Rainha de Lúcifer (2x)
Juraram me matar agora não matam mais (2x)
Minha comadre é pomba gira e meu compadre é satanás (2x)
Juraram me matar com um copo de veneno (2x)
Pode tentar me matar que parar de beber eu não paro mesmo (2x)"
Pomba Gira,Pomba Gira,Samba,"Roda essa saia mulher, que essa saia custou dinheiro
Dinheiro e ruim de ganhar e essa saia é boa de rodar"
Pomba Gira,Pomba Gira,Samba,"Bracilin de ouro,chuva fina não me molha
Se você não me quiser, outro quer e você chora
Vestiu vermelho só pra me fazer pirraça
Vermelho pra mim é sangue e sangue pra nada"
Pomba Gira,Dama da Noite,Congo,"Não mexa com ela não, ela é ponta de agulha (2x)
Quem mexer com Dama da Noite camarada, está cavando a sepultura (2x)"
